icao,name,city,state,country,lat,lon
00AK,Lowell Field,Anchor Point,Alaska,US,59.94919968,-151.695999146
00AL,Epps Airpark,Harvest,Alabama,US,34.8647994995,-86.7703018188
00AZ,Cordes Airport,Cordes,Arizona,US,34.3055992126,-112.1650009155
00CA,Goldstone /Gts/ Airport,Barstow,California,US,35.3504981995,-116.888000488
00CL,Williams Ag Airport,Biggs,California,US,39.42718888,-121.76342777
00CO,Cass Field,Briggsdale,Colorado,US,40.6222000122,-104.34400177
00FA,Grass Patch Airport,Bushnell,Florida,US,28.6455001831,-82.21900177
00FL,River Oak Airport,Okeechobee,Florida,US,27.2308998108,-80.9692001343
00GA,Lt World Airport,Lithonia,Georgia,US,33.7675018311,-84.0682983398
00ID,Delta Shores Airport,Clark Fork,Idaho,US,48.1453018188,-116.2139968872
00IL,Hammer Airport,Polo,Illinois,US,41.9784011841,-89.5604019165
00IS,Hayenga's Cant Find Farms Airport,Kings,Illinois,US,40.0256004333,-89.1229019165
00KS,Hayden Farm Airport,Gardner,Kansas,US,38.7277984619,-94.9304962158
00KY,Robbins Roost Airport,Stanford,Kentucky,US,37.4094009399,-84.6196975708
00LS,Lejeune Airport,Esterwood,Louisiana,US,30.1362991333,-92.429397583
00MD,Slater Field,Federalsburg,Maryland,US,38.7570991516,-75.7537994385
00MN,Battle Lake Municipal Airport,Battle Lake,Minnesota,US,46.2999992371,-95.700302124
00MO,Cooper Flying Service Airport,Alba,Missouri,US,37.2028007507,-94.412399292
00MT,Sands Ranch Airport,Havre,Montana,US,48.5374984741,-109.7050018311
00NC,North Raleigh Airport,Louisburg,North Carolina,US,36.0852012634,-78.3713989258
00NY,Weiss Airfield,West Bloomfield,New York,US,42.900100708,-77.4997024536
00OH,Exit 3 Airport,Wauseon,Ohio,US,41.5909004211,-84.1421966553
00PN,Ferrell Field,Mercer,Pennsylvania,US,41.2995,-80.211111
00PS,Thomas Field,Loysville,Pennsylvania,US,40.3777999878,-77.3653030396
00SC,Flying O Airport,Sumter,South Carolina,US,34.0093994141,-80.2671966553
00TN,Ragsdale Road Airport,Manchester,Tennessee,US,35.5158996582,-85.9535980225
00TS,Alpine Range Airport,Everman,Texas,US,32.6076011658,-97.2419967651
00TX,Delva Field,Van,Texas,US,32.544452,-95.67313
00VA,Vaughan Airport,Alton,Virginia,US,36.57600021,-78.9991684
00VI,Groundhog Mountain Airport,Hillsville,Virginia,US,36.6632995605,-80.49949646
00WA,Howell Airport,Longbranch,Washington,US,47.1783981323,-122.7720031738
00WI,Northern Lite Airport,Waupaca,Wisconsin,US,44.3042984009,-89.0501022339
00WN,Hawks Run Airport,Asotin,Washington,US,46.25,-117.2490005493
00WV,Lazy J. Aerodrome,Beverly,West Virginia,US,38.8288993835,-79.8660964966
00XS,L P Askew Farms Airport,O'Donnell,Texas,US,33.0334014893,-101.9339981079
01AL,Ware Island Airport,Clanton,Alabama,US,32.9459991455,-86.5139007568
01CL,Swansboro Country Airport,Placerville,California,US,38.7999000549,-120.7340011597
01FA,Rybolt Ranch Airport,Orlando,Florida,US,28.5893993378,-81.144203186
01FL,Cedar Knoll Flying Ranch Airport,Geneva,Florida,US,28.7819004059,-81.1592025757
01GE,The Farm Airport,Wrightsville,Georgia,US,32.6744003296,-82.7711029053
01IA,Stender Airport,Maysville,Iowa,US,41.6610984802,-90.7413024902
01ID,Lava Hot Springs Airport,Lava Hot Springs,Idaho,US,42.6082000732,-112.0319976807
01II,Myers Field,Lizton,Indiana,US,39.8849983215,-86.5066986084
01IS,William E. Koenig Airport,Dow,Illinois,US,39.0162010193,-90.3181991577
01KS,Flying N Ranch Airport,Lost Springs,Kansas,US,38.540599823,-97.0033035278
01LA,Barham Airport,Oak Ridge,Louisiana,US,32.638999939,-91.7736968994
01LL,Schumaier Restricted Landing Area,Pinckneyville,Illinois,US,38.1258010864,-89.4638977051
01LS,Country Breeze Airport,Slaughter,Louisiana,US,30.7059993744,-91.0774002075
01MT,Crystal Lakes Resort Airport,Fortine,Montana,US,48.789100647,-114.8799972534
01NC,Topsail Airpark,Holly Ridge,North Carolina,US,34.4752998352,-77.5813980103
01NE,Detour Airport,Wellfleet,Nebraska,US,40.8436012268,-100.6529998779
01NH,Moore Airfield,Enfield,New Hampshire,US,43.6445007324,-72.0869979858
01NM,Champion Ranch Airport,Artesia,New Mexico,US,33.008611,-104.540278
01NV,Lantana Ranch Airport,Yerington,Nevada,US,38.7639007568,-119.0270004272
01OK,Lawrence Airport,Eakly,Oklahoma,US,35.2944984436,-98.6364974976
01OR,Red & White Flying Service Airport,Silver Lake,Oregon,US,43.1193008423,-121.0449981689
01PN,Bierly(Personal Use) Airport,Bellefonte,Pennsylvania,US,40.9305992126,-77.738899231
01PS,Nort's Resort Airport,Meshoppen,Pennsylvania,US,41.5959014893,-76.0296020508
01SC,York Airport,York,South Carolina,US,35.0321006775,-81.2527999878
01TE,Smith Field,Forney,Texas,US,32.7375984192,-96.4280014038
01TN,Colonial Air Park,Collierville,Tennessee,US,34.9958992004,-89.7305984497
01TX,Mims Farm Ultralightport,Waxahachie,Texas,US,32.3875999451,-96.8775024414
01UT,La Sal Junction Airport,La Sal,Utah,US,38.3083000183,-109.3960037231
01VA,Pickles Airport,Berryville,Virginia,US,39.125,-77.9250030518
01WI,Prehn Cranberry Company Airport,Tomah,Wisconsin,US,44.0099983215,-90.3891983032
01WY,Keyhole Airport,Moorcroft,Wyoming,US,44.3471984863,-104.8109970093
02AK,Rustic Wilderness Airport,Willow,Alaska,US,61.8768997192,-150.0980072021
02AL,Bass Field,Foley,Alabama,US,30.3715000153,-87.7643966675
02AR,Three Rivers Airport,Little Rock,Arkansas,US,34.8224449158,-92.4444198608
02AZ,Winchester Farm Airstrip,Willcox,Arizona,US,32.3763999939,-109.93699646
02CD,Shannon Field,Clarksdale,Mississippi,US,34.1296005249,-90.5240020752
02CL,Conover Air Lodge Airport,Frazier Park,California,US,34.761100769,-119.0589981079
02CO,Mc Cullough Airport,Monte Vista,Colorado,US,37.6432991028,-106.04699707
02FA,Osborn Airfield,Groveland,Florida,US,28.5266990662,-81.8748016357
02FL,Cuchens Airport,Defuniak Springs,Florida,US,30.642778,-86.123889
02GA,Doug Bolton Field,Commerce,Georgia,US,34.2025985718,-83.4290008545
02GE,Etowah Fields Airport,Euharlee,Georgia,US,34.1753005981,-84.9244003296
